,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
0,2013-11-08,N,Duke,ACC,Davidson,Home,True,111,77,34,2013-14,SC
28176,2021-11-09,N,Stanford,P12,Tarleton St.,Home,True,62,50,12,2021-22,WAC
28173,2021-11-09,N,N.C. State,ACC,Bucknell,Home,True,88,70,18,2021-22,Pat
28172,2021-11-09,N,Chicago St.,WAC,St. Thomas,Home,True,77,72,5,2021-22,Sum
28169,2021-11-09,N,Arkansas,SEC,Mercer,Home,True,74,61,13,2021-22,SC
28168,2021-11-09,N,South Florida,Amer,Bethune Cookman,Home,True,75,54,21,2021-22,SWAC
28167,2021-11-09,N,New Mexico St.,WAC,UC Irvine,Home,True,62,51,11,2021-22,BW
28163,2021-11-09,N,Miami FL,ACC,Canisius,Home,True,77,67,10,2021-22,MAAC
28162,2021-11-09,N,Utah,P12,Abilene Christian,Home,True,70,56,14,2021-22,WAC
28158,2021-11-09,N,Arizona,P12,Northern Arizona,Home,True,81,52,29,2021-22,BSky
28155,2021-11-09,N,Marquette,BE,SIU Edwardsville,Home,True,88,77,11,2021-22,OVC
28151,2021-11-09,N,Rice,CUSA,Pepperdine,Home,True,82,63,19,2021-22,WCC
28147,2021-11-09,N,Northwestern,B10,Eastern Illinois,Home,True,80,56,24,2021-22,OVC
12982,2016-03-27,P,Columbia,Ivy,NJIT,Home,True,80,65,15,2015-16,ASun
28146,2021-11-09,N,Providence,BE,Fairfield,Home,True,80,73,7,2021-22,MAAC
28145,2021-11-09,N,BYU,WCC,Cleveland St.,Home,True,69,59,10,2021-22,Horz
28141,2021-11-09,N,Illinois,B10,Jackson St.,Home,True,71,47,24,2021-22,SWAC
12987,2016-03-27,P,Coastal Carolina,BSth,UC Irvine,Home,False,66,47,19,2015-16,BW
28121,2021-11-09,N,Wisconsin,B10,St. Francis NY,Home,True,81,58,23,2021-22,NEC
28122,2021-11-09,N,Alabama A&M,SWAC,Tennessee St.,Home,True,82,73,9,2021-22,OVC
28123,2021-11-09,N,South Dakota St.,Sum,Bradley,Home,True,81,65,16,2021-22,MVC
28126,2021-11-09,N,Minnesota,B10,UMKC,Home,True,71,56,15,2021-22,Sum
28127,2021-11-09,N,Saint Louis,A10,Central Arkansas,Home,True,96,61,35,2021-22,ASun
28130,2021-11-09,N,Grand Canyon,WAC,Grambling St.,Home,True,74,53,21,2021-22,SWAC
28180,2021-11-09,N,Little Rock,SB,Southern Illinois,Home,True,69,66,3,2021-22,MVC
28132,2021-11-09,N,Missouri,SEC,Central Michigan,Home,True,78,68,10,2021-22,MAC
28134,2021-11-09,N,Mississippi,SEC,New Orleans,Home,True,82,61,21,2021-22,Slnd
28135,2021-11-09,N,Virginia Tech,ACC,Maine,Home,True,82,47,35,2021-22,AE
28137,2021-11-09,N,Wagner,NEC,Hartford,Home,True,77,59,18,2021-22,AE
28139,2021-11-09,N,Fordham,A10,Columbia,Home,True,77,67,10,2021-22,Ivy
28140,2021-11-09,N,Georgia Southern,SB,Ball St.,Home,True,82,71,11,2021-22,MAC
12988,2016-03-28,P,Morehead St.,OVC,Nevada,Home,True,86,83,3,2015-16,MWC
28133,2021-11-09,N,Charlotte,CUSA,Monmouth,Home,True,68,66,2,2021-22,MAAC
28182,2021-11-09,N,Saint Joseph's,A10,Maryland Eastern Sho,Home,True,69,67,2,2021-22,MEAC
28183,2021-11-09,N,Virginia,ACC,Navy,Home,False,66,58,8,2021-22,Pat
12966,2016-03-24,P,NJIT,ASun,UT Arlington,Home,True,63,60,3,2015-16,SB
12947,2016-03-23,P,Columbia,Ivy,Ball St.,Home,True,69,67,2,2015-16,MAC
12946,2016-03-23,P,Nevada,MWC,Vermont,Home,True,86,72,14,2015-16,AE
28209,2021-11-09,N,George Washington,A10,Saint Francis,Home,True,75,72,3,2021-22,NEC
12944,2016-03-23,P,George Washington,A10,Florida,Home,True,82,77,5,2015-16,SEC
28210,2021-11-09,N,Wichita St.,Amer,Jacksonville St.,Home,True,60,57,3,2021-22,ASun
12942,2016-03-22,P,Valparaiso,Horz,Saint Mary's,Home,True,60,44,16,2015-16,WCC
28208,2021-11-09,N,Illinois St.,MVC,UNC Wilmington,Home,True,68,63,5,2021-22,CAA
28214,2021-11-09,N,Oregon St.,P12,Portland St.,Home,True,73,64,9,2021-22,BSky
12939,2016-03-21,P,Seattle,WAC,Vermont,Home,False,73,54,19,2015-16,AE
12938,2016-03-21,P,Ohio,MAC,UNC Greensboro,Home,True,72,67,5,2015-16,SC
28215,2021-11-09,N,SMU,Amer,McNeese St.,Home,True,86,62,24,2021-22,Slnd
28218,2021-11-09,N,Rhode Island,A10,Boston University,Home,True,71,62,9,2021-22,Pat
12935,2016-03-21,P,South Carolina,SEC,Georgia Tech,Home,False,83,66,17,2015-16,ACC
12934,2016-03-21,P,Monmouth,MAAC,George Washington,Home,False,87,71,16,2015-16,A10
12940,2016-03-22,P,BYU,WCC,Creighton,Home,True,88,82,6,2015-16,BE
13002,2016-03-29,P,Columbia,Ivy,UC Irvine,Home,True,73,67,6,2015-16,BW
12949,2016-03-23,P,San Diego St.,MWC,Georgia Tech,Home,True,72,56,16,2015-16,ACC
28204,2021-11-09,N,George Mason,A10,Stony Brook,Home,True,74,52,22,2021-22,AE
28185,2021-11-09,N,Arizona St.,P12,Portland,Home,True,76,60,16,2021-22,WCC
28186,2021-11-09,N,San Diego St.,MWC,UC Riverside,Home,True,66,53,13,2021-22,BW
28187,2021-11-09,N,Iona,MAAC,Appalachian St.,Home,True,65,53,12,2021-22,SB
28188,2021-11-09,N,Iowa St.,B12,Kennesaw St.,Home,True,84,73,11,2021-22,ASun
28189,2021-11-09,N,Louisville,ACC,Southern,Home,True,72,60,12,2021-22,SWAC
28192,2021-11-09,N,Dayton,A10,Illinois Chicago,Home,True,64,54,10,2021-22,Horz
28206,2021-11-09,N,Colgate,Pat,Northeastern,Home,True,65,58,7,2021-22,CAA
28198,2021-11-09,N,Creighton,BE,Arkansas Pine Bluff,Home,True,90,77,13,2021-22,SWAC
12957,2016-03-23,P,Coastal Carolina,BSth,Grand Canyon,Home,True,60,58,2,2015-16,WAC
28200,2021-11-09,N,American,Pat,Marist,Home,True,77,73,4,2021-22,MAAC
12955,2016-03-23,P,Ohio,MAC,Morehead St.,Home,False,77,72,5,2015-16,OVC
12954,2016-03-23,P,Louisiana,SB,UC Irvine,Home,False,67,66,1,2015-16,BW
28202,2021-11-09,N,Oklahoma,B12,Northwestern St.,Home,True,77,59,18,2021-22,Slnd
28203,2021-11-09,N,Tulane,Amer,Southeastern Louisia,Home,True,70,67,3,2021-22,Slnd
28199,2021-11-09,N,Xavier,BE,Niagara,Home,True,63,60,3,2021-22,MAAC
28221,2021-11-09,N,Incarnate Word,Slnd,Texas St.,Home,False,75,57,18,2021-22,SB
28119,2021-11-09,N,Green Bay,Horz,Indiana St.,Home,False,81,77,4,2021-22,MVC
28117,2021-11-09,N,Duquesne,A10,Rider,Home,True,73,61,12,2021-22,MAAC
13045,2016-11-11,N,St. John's,BE,Bethune Cookman,Home,True,100,53,47,2016-17,MEAC
13046,2016-11-11,N,West Virginia,B12,Mount St. Mary's,Home,True,87,59,28,2016-17,NEC
28075,2021-11-09,N,Texas Tech,B12,North Florida,Home,True,89,74,15,2021-22,ASun
13048,2016-11-11,N,Creighton,BE,UMKC,Home,True,89,82,7,2016-17,WAC
13049,2016-11-11,N,Colorado,P12,Sacramento St.,Home,True,90,53,37,2016-17,BSky
28074,2021-11-09,N,Syracuse,ACC,Lafayette,Home,True,97,63,34,2021-22,Pat
28073,2021-11-09,N,St. John's,BE,Mississippi Valley S,Home,True,119,61,58,2021-22,SWAC
13052,2016-11-11,N,Seton Hall,BE,Fairleigh Dickinson,Home,True,91,70,21,2016-17,NEC
13053,2016-11-11,N,Eastern Kentucky,OVC,IU Indy,Home,True,97,87,10,2016-17,Sum
28071,2021-11-09,N,Santa Clara,WCC,Cal St. Fullerton,Home,True,84,77,7,2021-22,BW
28070,2021-11-09,N,Texas,B12,Houston Christian,Home,True,92,48,44,2021-22,Slnd
13056,2016-11-11,N,Kansas St.,B12,Western Illinois,Home,True,82,55,27,2016-17,Sum
13057,2016-11-11,N,Dayton,A10,Austin Peay,Home,True,96,68,28,2016-17,OVC
28069,2021-11-09,N,Ohio,MAC,Belmont,Home,True,92,80,12,2021-22,OVC
13059,2016-11-11,N,Syracuse,ACC,Colgate,Home,True,83,55,28,2016-17,Pat
28068,2021-11-09,N,Loyola Chicago,MVC,Coppin St.,Home,True,103,45,58,2021-22,MEAC
13061,2016-11-11,N,Oregon,P12,Army,Home,True,91,77,14,2016-17,Pat
13075,2016-11-11,N,Florida,SEC,Florida Gulf Coast,Home,True,80,59,21,2016-17,ASun
13074,2016-11-11,N,Villanova,BE,Lafayette,Home,True,88,48,40,2016-17,Pat
28061,2021-11-09,N,San Francisco,WCC,LIU,Home,True,98,64,34,2021-22,NEC
13072,2016-11-11,N,Arkansas,SEC,Purdue Fort Wayne,Home,True,92,83,9,2016-17,Sum
28063,2021-11-09,N,Alabama,SEC,Louisiana Tech,Home,True,93,64,29,2021-22,CUSA
28064,2021-11-09,N,Purdue,B10,Bellarmine,Home,True,96,67,29,2021-22,ASun
13044,2016-11-11,N,South Carolina,SEC,Louisiana Tech,Home,True,85,76,9,2016-17,CUSA
13069,2016-11-11,N,Murray St.,OVC,Illinois St.,Home,True,73,70,3,2016-17,MVC
13067,2016-11-11,N,Cincinnati,Amer,Brown,Home,True,84,55,29,2016-17,Ivy
28067,2021-11-09,N,Colorado St.,MWC,Oral Roberts,Home,True,109,80,29,2021-22,Sum
13065,2016-11-11,N,Tulane,Amer,North Carolina,Home,False,95,75,20,2016-17,ACC
13064,2016-11-11,N,Texas Tech,B12,Houston Christian,Home,True,93,67,26,2016-17,Slnd
13063,2016-11-11,N,Presbyterian,BSth,Furman,Home,True,73,71,2,2016-17,SC
13062,2016-11-11,N,Kentucky,SEC,Stephen F. Austin,Home,True,87,64,23,2016-17,Slnd
13068,2016-11-11,N,Xavier,BE,Lehigh,Home,True,84,81,3,2016-17,Pat
13043,2016-11-11,N,VCU,A10,UNC Asheville,Home,True,80,65,15,2016-17,BSth
28077,2021-11-09,N,Oklahoma St.,B12,UT Arlington,Home,True,88,45,43,2021-22,SB
28079,2021-11-09,N,Washington St.,P12,Alcorn St.,Home,True,85,67,18,2021-22,SWAC
28093,2021-11-09,N,Gonzaga,WCC,Utah Tech,Home,True,97,63,34,2021-22,WAC
28094,2021-11-09,N,UCLA,P12,Cal St. Bakersfield,Home,True,95,58,37,2021-22,BW
28095,2021-11-09,N,Tennessee,SEC,Tennessee Martin,Home,True,90,62,28,2021-22,OVC
28096,2021-11-09,N,Boise St.,MWC,Utah Valley,Home,True,76,56,20,2021-22,WAC
28100,2021-11-09,N,Missouri St.,MVC,Southeast Missouri S,Home,False,99,94,5,2021-22,OVC
13015,2016-04-01,P,Nevada,MWC,Morehead St.,Home,True,85,82,3,2015-16,OVC
13022,2016-11-11,N,UCLA,P12,Pacific,Home,True,119,80,39,2016-17,WCC
28106,2021-11-09,N,North Carolina,ACC,Loyola MD,Home,True,83,67,16,2021-22,Pat
28109,2021-11-09,N,Nevada,MWC,Eastern Washington,Home,True,91,76,15,2021-22,BSky
28110,2021-11-09,N,Florida,SEC,Elon,Home,True,74,61,13,2021-22,CAA
13010,2016-03-30,P,Nevada,MWC,Morehead St.,Home,True,77,68,9,2015-16,OVC
28111,2021-11-09,N,Loyola Marymount,WCC,Chattanooga,Home,False,75,64,11,2021-22,SC
28114,2021-11-09,N,Houston,Amer,Hofstra,Home,True,83,75,8,2021-22,CAA
28116,2021-11-09,N,Maryland,B10,Quinnipiac,Home,True,83,69,14,2021-22,MAAC
28108,2021-11-09,N,Ohio St.,B10,Akron,Home,True,67,66,1,2021-22,MAC
28118,2021-11-09,N,St. Bonaventure,A10,Siena,Home,True,75,47,28,2021-22,MAAC
13023,2016-11-11,N,Saint Mary's,WCC,Nevada,Home,True,81,63,18,2016-17,MWC
13025,2016-11-11,N,Houston,Amer,Morgan St.,Home,True,93,52,41,2016-17,MEAC
13040,2016-11-11,N,Purdue,B10,McNeese St.,Home,True,109,65,44,2016-17,Slnd
13039,2016-11-11,N,Clemson,ACC,Georgia,Home,True,74,64,10,2016-17,SEC
13038,2016-11-11,N,Gonzaga,WCC,Utah Valley,Home,True,92,69,23,2016-17,WAC
13037,2016-11-11,N,Miami FL,ACC,Western Carolina,Home,True,92,43,49,2016-17,SC
28080,2021-11-09,N,Boston College,ACC,Dartmouth,Home,True,73,57,16,2021-22,Ivy
28082,2021-11-09,N,Saint Mary's,WCC,Prairie View A&M,Home,True,87,68,19,2021-22,SWAC
13024,2016-11-11,N,East Tennessee St.,SC,Fordham,Home,True,96,59,37,2016-17,A10
13034,2016-11-11,N,Northeastern,CAA,Boston University,Home,True,87,77,10,2016-17,Pat
13032,2016-11-11,N,Missouri St.,MVC,Alabama A&M,Home,True,96,62,34,2016-17,SWAC
28085,2021-11-09,N,Connecticut,BE,Central Connecticut,Home,True,99,48,51,2021-22,NEC
28087,2021-11-09,N,Colorado,P12,Montana St.,Home,True,94,90,4,2021-22,BSky
28088,2021-11-09,N,Memphis,Amer,Tennessee Tech,Home,True,89,65,24,2021-22,OVC
28089,2021-11-09,N,LSU,SEC,Louisiana Monroe,Home,True,101,39,62,2021-22,SB
28090,2021-11-09,N,Auburn,SEC,Morehead St.,Home,True,77,54,23,2021-22,OVC
28083,2021-11-09,N,USC,P12,Cal St. Northridge,Home,True,89,49,40,2021-22,BW
28222,2021-11-09,N,Valparaiso,MVC,Toledo,Home,False,69,61,8,2021-22,MAC
12931,2016-03-21,P,NJIT,ASun,Boston University,Home,True,83,72,11,2015-16,Pat
12930,2016-03-21,P,Nevada,MWC,Eastern Washington,Home,True,85,70,15,2015-16,BSky
28418,2021-11-12,N,East Carolina,Amer,Canisius,Home,True,83,71,12,2021-22,MAAC
28417,2021-11-12,N,Yale,Ivy,Massachusetts,Home,True,91,71,20,2021-22,A10
12822,2016-03-17,P,Valparaiso,Horz,Florida St.,Home,True,81,69,12,2015-16,ACC
28416,2021-11-12,N,Auburn,SEC,Louisiana Monroe,Home,True,93,65,28,2021-22,SB
28415,2021-11-12,N,Michigan St.,B10,Western Michigan,Home,True,90,46,44,2021-22,MAC
28414,2021-11-12,N,West Virginia,B12,Pittsburgh,Home,True,74,59,15,2021-22,ACC
28413,2021-11-12,N,George Mason,A10,Penn,Home,True,87,66,21,2021-22,Ivy
28411,2021-11-12,N,Southern Illinois,MVC,Austin Peay,Home,True,73,55,18,2021-22,OVC
28406,2021-11-12,N,Charlotte,CUSA,USC Upstate,Home,True,76,64,12,2021-22,BSth
28405,2021-11-12,N,Houston,Amer,Rice,Home,True,79,46,33,2021-22,CUSA
28404,2021-11-12,N,Arizona,P12,UT Rio Grande Valley,Home,True,104,50,54,2021-22,WAC
28402,2021-11-12,N,Butler,BE,Central Arkansas,Home,True,85,53,32,2021-22,ASun
28401,2021-11-12,N,Indiana,B10,Northern Illinois,Home,True,85,49,36,2021-22,MAC
28398,2021-11-12,N,Saint Louis,A10,Eastern Illinois,Home,True,86,44,42,2021-22,OVC
28395,2021-11-12,N,BYU,WCC,San Diego St.,Home,True,66,60,6,2021-22,MWC
28394,2021-11-12,N,Boston College,ACC,Holy Cross,Home,True,85,55,30,2021-22,Pat
28390,2021-11-12,N,Texas Tech,B12,Grambling St.,Home,True,88,62,26,2021-22,SWAC
28373,2021-11-12,N,Purdue,B10,Indiana St.,Home,True,92,67,25,2021-22,MVC
28375,2021-11-12,N,UCLA,P12,Villanova,Home,True,86,77,9,2021-22,BE
28376,2021-11-12,N,Washington St.,P12,Seattle,Home,True,79,61,18,2021-22,WAC
28377,2021-11-12,N,Alabama,SEC,South Dakota St.,Home,True,104,88,16,2021-22,Sum
28378,2021-11-12,N,Georgia St.,SB,Northeastern,Home,True,83,64,19,2021-22,CAA
28380,2021-11-12,N,Kentucky,SEC,Robert Morris,Home,True,100,60,40,2021-22,Horz
28419,2021-11-12,N,Clemson,ACC,Wofford,Home,True,76,68,8,2021-22,SC
28381,2021-11-12,N,Ohio St.,B10,Niagara,Home,True,84,74,10,2021-22,MAAC
28384,2021-11-12,N,LSU,SEC,Texas St.,Home,True,84,59,25,2021-22,SB
28385,2021-11-12,N,Oklahoma,B12,UTSA,Home,True,96,44,52,2021-22,CUSA
28386,2021-11-12,N,Rider,MAAC,Coppin St.,Home,True,81,69,12,2021-22,MEAC
28387,2021-11-12,N,Illinois,B10,Arkansas St.,Home,True,92,53,39,2021-22,SB
28388,2021-11-12,N,Iowa,B10,UMKC,Home,True,89,57,32,2021-22,Sum
12838,2016-03-17,P,Grand Canyon,WAC,Jackson St.,Home,True,64,54,10,2015-16,SWAC
28382,2021-11-12,N,Virginia,ACC,Radford,Home,True,73,52,21,2021-22,BSth
28420,2021-11-12,N,Fresno St.,MWC,LIU,Home,True,84,60,24,2021-22,NEC
28422,2021-11-12,N,Utah Tech,WAC,Southern Utah,Home,True,83,76,7,2021-22,BSky
28424,2021-11-12,N,Mississippi,SEC,Charleston Southern,Home,True,93,68,25,2021-22,BSth
28445,2021-11-12,N,Eastern Michigan,MAC,Illinois St.,Home,True,103,98,5,2021-22,MVC
28446,2021-11-12,N,Baylor,B12,Incarnate Word,Home,True,87,60,27,2021-22,Slnd
28447,2021-11-12,N,Grand Canyon,WAC,North Florida,Home,True,65,51,14,2021-22,ASun
12792,2016-03-16,P,Seattle,WAC,Idaho,Home,True,68,63,5,2015-16,BSky
28448,2021-11-12,N,Marshall,CUSA,Wright St.,Home,True,96,88,8,2021-22,Horz
28452,2021-11-12,N,Saint Mary's,WCC,Texas Southern,Home,True,67,58,9,2021-22,SWAC
12796,2016-03-16,P,Vermont,AE,Western Carolina,Home,True,79,74,5,2015-16,SC
28454,2021-11-12,N,UC Davis,BW,Eastern Washington,Home,True,84,76,8,2021-22,BSky
28457,2021-11-12,N,Nevada,MWC,San Diego,Home,False,75,68,7,2021-22,WCC
12786,2016-03-16,P,St. Bonaventure,A10,Wagner,Home,False,79,75,4,2015-16,NEC
28461,2021-11-12,N,Presbyterian,BSth,VMI,Home,True,73,72,1,2021-22,SC
28464,2021-11-12,N,Marquette,BE,New Hampshire,Home,True,75,70,5,2021-22,AE
12783,2016-03-16,P,Nevada,MWC,Montana,Home,True,79,75,4,2015-16,BSky
28465,2021-11-12,N,Georgia Tech,ACC,Stetson,Home,True,77,52,25,2021-22,ASun
12788,2016-03-16,P,NJIT,ASun,Army,Home,True,79,65,14,2015-16,Pat
28372,2021-11-12,N,North Carolina,ACC,Brown,Home,True,94,87,7,2021-22,Ivy
28444,2021-11-12,N,Middle Tennessee,CUSA,Bethune Cookman,Home,True,71,51,20,2021-22,SWAC
28441,2021-11-12,N,Rhode Island,A10,Bryant,Home,True,83,64,19,2021-22,NEC
28425,2021-11-12,N,Lafayette,Pat,Cornell,Home,False,90,85,5,2021-22,Ivy
28426,2021-11-12,N,Texas A&M,SEC,Abilene Christian,Home,True,81,80,1,2021-22,WAC
28429,2021-11-12,N,Xavier,BE,Kent St.,Home,True,73,59,14,2021-22,MAC
28431,2021-11-12,N,Colorado St.,MWC,Arkansas Pine Bluff,Home,True,91,71,20,2021-22,SWAC
12809,2016-03-16,P,Fairfield,MAAC,New Hampshire,Home,False,77,62,15,2015-16,AE
12808,2016-03-16,P,UNC Greensboro,SC,Houston Christian,Home,True,69,65,4,2015-16,Slnd
12798,2016-03-16,P,Central Michigan,MAC,Tennessee Martin,Home,False,76,73,3,2015-16,OVC
12807,2016-03-16,P,Savannah St.,MEAC,UT Arlington,Home,False,75,59,16,2015-16,SB
28433,2021-11-12,N,Columbia,Ivy,Marist,Home,False,82,67,15,2021-22,MAAC
28434,2021-11-12,N,Wake Forest,ACC,Western Carolina,Home,True,87,75,12,2021-22,SC
12803,2016-03-16,P,Fordham,A10,Boston University,Home,False,69,66,3,2015-16,Pat
28437,2021-11-12,N,Wisconsin,B10,Green Bay,Home,True,72,34,38,2021-22,Horz
28439,2021-11-12,N,Appalachian St.,SB,East Tennessee St.,Home,True,69,67,2,2021-22,SC
28440,2021-11-12,N,Nebraska,B10,Sam Houston St.,Home,True,74,65,9,2021-22,WAC
12806,2016-03-16,T,Southern,SWAC,Holy Cross,Home,False,59,55,4,2015-16,Pat
28371,2021-11-12,N,Northwestern,B10,High Point,Home,True,95,60,35,2021-22,BSth
28370,2021-11-12,N,Kansas,B12,Tarleton St.,Home,True,88,62,26,2021-22,WAC
28369,2021-11-12,N,Santa Clara,WCC,Stanford,Home,True,88,72,16,2021-22,P12
28256,2021-11-09,N,La Salle,A10,Sacred Heart,Home,False,86,81,5,2021-22,NEC
28257,2021-11-09,N,South Carolina,SEC,USC Upstate,Home,True,78,60,18,2021-22,BSth
28263,2021-11-09,N,Pittsburgh,ACC,The Citadel,Home,False,78,63,15,2021-22,SC
12908,2016-03-20,P,Saint Mary's,WCC,Georgia,Home,True,77,65,12,2015-16,SEC
28267,2021-11-09,N,East Carolina,Amer,South Carolina St.,Home,True,70,62,8,2021-22,MEAC
28268,2021-11-09,N,Binghamton,AE,Cornell,Home,False,76,69,7,2021-22,Ivy
28255,2021-11-09,N,Western Kentucky,CUSA,Alabama St.,Home,True,79,74,5,2021-22,SWAC
28271,2021-11-09,N,Western Carolina,SC,Bowling Green,Home,True,79,71,8,2021-22,MAC
28277,2021-11-09,N,Georgia,SEC,FIU,Home,True,58,51,7,2021-22,CUSA
28283,2021-11-09,N,Washington,P12,Northern Illinois,Home,False,71,64,7,2021-22,MAC
28285,2021-11-09,N,UNC Greensboro,SC,North Carolina A&T,Home,True,57,53,4,2021-22,BSth
28289,2021-11-09,N,North Dakota,Sum,Milwaukee,Home,False,75,60,15,2021-22,Horz
28296,2021-11-10,N,New Mexico,MWC,Florida Atlantic,Home,True,99,92,7,2021-22,CUSA
12898,2016-03-19,P,Furman,SC,Louisiana,Home,False,80,72,8,2015-16,SB
28272,2021-11-09,N,West Virginia,B12,Oakland,Home,True,60,53,7,2021-22,Horz
12897,2016-03-19,P,Coastal Carolina,BSth,New Hampshire,Home,True,71,62,9,2015-16,AE
28254,2021-11-09,N,Northern Iowa,MVC,Nicholls St.,Home,False,62,58,4,2021-22,Slnd
12915,2016-03-20,P,Ohio St.,B10,Florida,Home,False,74,66,8,2015-16,SEC
28223,2021-11-09,N,Utah St.,MWC,UC Davis,Home,False,72,69,3,2021-22,BW
28226,2021-11-09,N,Massachusetts,A10,UMBC,Home,True,77,60,17,2021-22,AE
12927,2016-03-21,P,Morehead St.,OVC,Duquesne,Home,True,82,72,10,2015-16,A10
28230,2021-11-09,N,California,P12,UC San Diego,Home,False,80,67,13,2021-22,BW
12925,2016-03-21,P,San Diego St.,MWC,Washington,Home,True,93,78,15,2015-16,P12
28235,2021-11-09,N,Butler,BE,IU Indy,Home,True,56,47,9,2021-22,Horz
28250,2021-11-09,N,Georgia Tech,ACC,Miami OH,Home,False,72,69,3,2021-22,MAC
28236,2021-11-09,N,Richmond,A10,North Carolina Centr,Home,True,70,60,10,2021-22,MEAC
28238,2021-11-09,N,Nebraska,B10,Western Illinois,Home,False,75,74,1,2021-22,Sum
12920,2016-03-20,P,Ball St.,MAC,Tennessee Martin,Home,True,83,80,3,2015-16,OVC
28242,2021-11-09,N,VCU,A10,Saint Peter's,Home,True,57,54,3,2021-22,MAAC
28244,2021-11-09,N,Clemson,ACC,Presbyterian,Home,True,64,53,11,2021-22,BSth
28245,2021-11-09,N,Indiana,B10,Eastern Michigan,Home,True,68,62,6,2021-22,MAC
28248,2021-11-09,N,Cincinnati,Amer,Evansville,Home,True,65,43,22,2021-22,MVC
28237,2021-11-09,N,Albany,AE,Towson,Home,False,77,56,21,2021-22,CAA
13076,2016-11-11,N,UAB,CUSA,Arkansas Pine Bluff,Home,True,86,66,20,2016-17,SWAC
28297,2021-11-10,N,Michigan,B10,Buffalo,Home,True,88,76,12,2021-22,MAC
28300,2021-11-10,N,Florida St.,ACC,Penn,Home,True,105,70,35,2021-22,Ivy
28339,2021-11-11,N,Charleston,CAA,South Carolina St.,Home,True,106,74,32,2021-22,MEAC
28341,2021-11-11,N,Providence,BE,Sacred Heart,Home,True,92,64,28,2021-22,NEC
28346,2021-11-11,N,Arizona St.,P12,UC Riverside,Home,False,66,65,1,2021-22,BW
28347,2021-11-11,N,Maryland,B10,George Washington,Home,True,71,64,7,2021-22,A10
28349,2021-11-11,N,Hawaii,BW,Northern Colorado,Home,False,81,78,3,2021-22,BSky
28352,2021-11-11,N,TCU,B12,McNeese St.,Home,True,77,61,16,2021-22,Slnd
28338,2021-11-11,N,San Francisco,WCC,Prairie View A&M,Home,True,92,76,16,2021-22,SWAC
28353,2021-11-11,N,Evansville,MVC,IU Indy,Home,True,60,40,20,2021-22,Horz
28357,2021-11-11,N,Northern Iowa,MVC,Vermont,Home,False,71,57,14,2021-22,AE
12863,2016-03-18,P,BYU,WCC,Virginia Tech,Home,True,80,77,3,2015-16,ACC
28361,2021-11-11,N,NJIT,AE,Merrimack,Home,False,61,54,7,2021-22,NEC
28362,2021-11-11,N,Creighton,BE,Kennesaw St.,Home,True,51,44,7,2021-22,ASun
28366,2021-11-12,N,Oregon,P12,SMU,Home,True,86,63,23,2021-22,Amer
28368,2021-11-12,N,UAB,CUSA,Morehead St.,Home,True,85,71,14,2021-22,OVC
28356,2021-11-11,N,Washington,P12,Northern Arizona,Home,True,73,62,11,2021-22,BSky
28299,2021-11-10,N,Wyoming,MWC,Detroit Mercy,Home,True,85,47,38,2021-22,Horz
28336,2021-11-11,N,San Jose St.,MWC,Cal St. Fullerton,Home,True,78,76,2,2021-22,BW
28328,2021-11-10,N,Texas A&M,SEC,North Florida,Home,True,64,46,18,2021-22,ASun
28301,2021-11-10,N,DePaul,BE,Coppin St.,Home,True,97,72,25,2021-22,MEAC
28303,2021-11-10,N,Penn St.,B10,Youngstown St.,Home,True,75,59,16,2021-22,Horz
28304,2021-11-10,N,Vanderbilt,SEC,Alabama St.,Home,True,91,72,19,2021-22,SWAC
28306,2021-11-10,N,Wake Forest,ACC,William & Mary,Home,True,77,59,18,2021-22,CAA
12889,2016-03-19,P,Creighton,BE,Wagner,Home,True,87,54,33,2015-16,NEC
28307,2021-11-10,N,Mississippi St.,SEC,North Alabama,Home,True,75,49,26,2021-22,ASun
28332,2021-11-10,N,Rutgers,B10,Lehigh,Home,True,73,70,3,2021-22,Pat
28308,2021-11-10,N,Idaho,BSky,Long Beach St.,Home,False,95,89,6,2021-22,BW
28313,2021-11-10,N,Seton Hall,BE,Fairleigh Dickinson,Home,True,93,49,44,2021-22,NEC
28314,2021-11-10,N,Temple,Amer,Maryland Eastern Sho,Home,True,72,49,23,2021-22,MEAC
28319,2021-11-10,N,UNLV,MWC,Gardner Webb,Home,True,64,58,6,2021-22,BSth
28320,2021-11-10,N,UCF,Amer,Robert Morris,Home,True,69,59,10,2021-22,Horz
28321,2021-11-10,N,Seattle,WAC,Alcorn St.,Home,True,69,66,3,2021-22,SWAC
28324,2021-11-10,N,Kansas St.,B12,Florida A&M,Home,True,67,57,10,2021-22,SWAC
28312,2021-11-10,N,Tulsa,Amer,Northwestern St.,Home,True,82,75,7,2021-22,Slnd
28060,2021-11-09,N,Davidson,A10,Delaware,Home,True,93,71,22,2021-22,CAA
28059,2021-11-09,N,Oregon,P12,Texas Southern,Home,True,83,66,17,2021-22,SWAC
28058,2021-11-09,N,UAB,CUSA,UNC Asheville,Home,True,102,77,25,2021-22,BSth
13437,2016-11-14,N,UC Irvine,BW,South Dakota St.,Home,True,73,58,15,2016-17,Sum
