,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
32825,2022-11-15,N,Akron,MAC,Morgan St.,Home,True,65,59,6,2022-23,MEAC
7030,2014-12-13,N,Providence,BE,Stony Brook,Home,True,79,61,18,2014-15,AE
33102,2022-11-18,N,Kansas,B12,Southern Utah,Home,True,82,76,6,2022-23,WAC
8353,2015-01-03,N,Ball St.,MAC,Bethune Cookman,Home,True,51,48,3,2014-15,MEAC
7089,2014-12-13,N,Gardner Webb,BSth,Furman,Home,True,74,68,6,2014-15,SC
7031,2014-12-13,N,San Diego,WCC,New Orleans,Home,True,85,60,25,2014-15,Slnd
7026,2014-12-13,N,VMI,SC,Marist,Home,True,92,77,15,2014-15,MAAC
32833,2022-11-15,N,Syracuse,ACC,Colgate,Home,False,80,68,12,2022-23,Pat
32742,2022-11-14,N,Chicago St.,ind,IU Indy,Home,True,68,58,10,2022-23,Horz
7023,2014-12-13,N,Santa Clara,WCC,Washington St.,Home,True,76,67,9,2014-15,P12
33107,2022-11-18,N,George Washington,A10,Maryland Eastern Sho,Home,True,69,64,5,2022-23,MEAC
8366,2015-01-06,N,Columbia,Ivy,Stony Brook,Home,False,70,61,9,2014-15,AE
7017,2014-12-13,N,Texas A&M,SEC,Youngstown St.,Home,True,81,63,18,2014-15,Horz
8365,2015-01-06,N,Saint Mary's,WCC,Morgan St.,Home,True,78,52,26,2014-15,MEAC
7958,2014-12-23,N,Santa Clara,WCC,Cal Poly,Home,False,69,58,11,2014-15,BW
32736,2022-11-14,N,UCF,Amer,Western Illinois,Home,True,70,37,33,2022-23,Sum
7019,2014-12-13,N,Detroit Mercy,Horz,Wichita St.,Home,False,77,68,9,2014-15,MVC
7020,2014-12-13,N,Mississippi,SEC,Western Kentucky,Home,False,81,74,7,2014-15,CUSA
7032,2014-12-13,N,Georgetown,BE,Radford,Home,True,76,49,27,2014-15,BSth
7959,2014-12-23,N,Louisville,ACC,Cal St. Northridge,Home,True,80,55,25,2014-15,BW
32737,2022-11-14,N,Texas Tech,B12,Louisiana Tech,Home,True,64,55,9,2022-23,CUSA
8362,2015-01-05,N,Brown,Ivy,UMass Lowell,Home,True,58,49,9,2014-15,AE
7312,2014-12-16,N,Eastern Kentucky,OVC,East Tennessee St.,Home,False,63,60,3,2014-15,SC
32740,2022-11-14,N,Central Arkansas,ASun,Little Rock,Home,True,82,71,11,2022-23,OVC
8360,2015-01-05,N,UC Santa Barbara,BW,Florida Gulf Coast,Home,True,63,50,13,2014-15,ASun
32741,2022-11-14,N,Villanova,BE,Delaware St.,Home,True,60,50,10,2022-23,MEAC
33777,2022-11-25,N,Davidson,A10,San Francisco,Home,True,89,80,9,2022-23,WCC
8263,2014-12-30,N,Jacksonville,ASun,Florida Atlantic,Home,False,68,50,18,2014-15,CUSA
7313,2014-12-16,N,La Salle,A10,American,Home,False,68,66,2,2014-15,Pat
7052,2014-12-13,N,Loyola Chicago,MVC,Jackson St.,Home,True,58,46,12,2014-15,SWAC
33772,2022-11-25,N,Washington St.,P12,Detroit Mercy,Home,True,96,54,42,2022-23,Horz
7034,2014-12-13,N,North Dakota St.,Sum,North Dakota,Home,True,71,42,29,2014-15,BSky
7041,2014-12-13,N,Toledo,MAC,Arkansas St.,Home,True,73,65,8,2014-15,SB
32767,2022-11-15,N,Missouri,SEC,SIU Edwardsville,Home,True,105,80,25,2022-23,OVC
33602,2022-11-23,N,Cal Poly,BW,Idaho,Home,True,82,71,11,2022-23,BSky
32820,2022-11-15,N,Texas Southern,SWAC,Oral Roberts,Home,False,82,64,18,2022-23,Sum
8342,2015-01-03,N,Stetson,ASun,Florida A&M,Home,True,65,60,5,2014-15,MEAC
7299,2014-12-16,N,Wichita St.,MVC,Alabama,Home,True,53,52,1,2014-15,SEC
7044,2014-12-13,N,Tulsa,Amer,Oklahoma,Home,False,87,68,19,2014-15,B12
8341,2015-01-03,N,Northern Kentucky,ASun,Toledo,Home,False,57,55,2,2014-15,MAC
32769,2022-11-15,N,Saint Louis,A10,Memphis,Home,True,90,84,6,2022-23,Amer
32770,2022-11-15,N,Oklahoma,B12,UNC Wilmington,Home,True,74,53,21,2022-23,CAA
8275,2014-12-31,N,Tennessee,SEC,East Tennessee St.,Home,True,71,61,10,2014-15,SC
8338,2015-01-03,N,Akron,MAC,Coppin St.,Home,True,79,62,17,2014-15,MEAC
32771,2022-11-15,N,N.C. State,ACC,FIU,Home,True,107,74,33,2022-23,CUSA
32772,2022-11-15,N,Clemson,ACC,USC Upstate,Home,True,81,70,11,2022-23,BSth
7050,2014-12-13,N,Illinois,B10,Oregon,Home,False,77,70,7,2014-15,P12
7298,2014-12-16,N,Houston,Amer,Houston Christian,Home,True,83,76,7,2014-15,Slnd
7297,2014-12-16,N,Presbyterian,BSth,Samford,Home,False,81,71,10,2014-15,SC
